ID,Producto,Categoria,Precio,Descuento,Stock,Publicidad,Calificacion,Visitas_Web,Mes,Dia_Semana,Temporada,Ventas
281,Celular,Gaming,2341.06,40,99,No,2.4,4083,Septiembre,Domingo,Normal,216
282,Disco SSD,Gaming,3050.22,8,254,No,3.3,538,Noviembre,Martes,Fiestas Patrias,150
283,Camara,Accesorios,399.7,33,390,No,4.1,1717,Enero,Jueves,Normal,267
284,Escritorio,Tecnologia,2672.75,40,288,Si,2.7,5500,Septiembre,Sabado,Campaña Escolar,316
285,Monitor,Oficina,1327.34,6,98,Si,2.3,7282,Agosto,Viernes,Navidad,238
286,Impresora,Computo,2440.23,28,482,No,3.4,8977,Mayo,Jueves,Black Friday,303
287,Silla Gamer,Gaming,1318.92,43,111,Si,1.3,7060,Enero,Domingo,Fiestas Patrias,334
288,Impresora,Tecnologia,2662.52,8,12,No,3.2,6521,Septiembre,Sabado,Black Friday,197
289,Audifonos,Gaming,1826.4,5,421,Si,1.1,1227,Marzo,Miercoles,Normal,124
290,Disco SSD,Computo,1678.9,42,441,Si,3.2,6620,Mayo,Sabado,Black Friday,392
291,Router,Tecnologia,83.45,22,116,No,1.0,5293,Mayo,Viernes,Black Friday,269
292,Parlante,Accesorios,1342.66,3,286,Si,2.9,4932,Noviembre,Sabado,Navidad,261
293,Silla Gamer,Oficina,372.94,3,382,No,2.1,3660,Septiembre,Miercoles,Normal,171
294,Audifonos,Accesorios,2041.64,41,429,Si,3.9,6837,Abril,Miercoles,Black Friday,404
295,Monitor,Accesorios,2884.65,29,468,Si,1.5,7102,Marzo,Lunes,Fiestas Patrias,286
296,Camara,Gaming,2781.06,41,449,No,4.9,9717,Diciembre,Viernes,Normal,305
297,Disco SSD,Gaming,322.9,0,181,Si,1.2,6334,Marzo,Viernes,Black Friday,284
298,Teclado,Accesorios,3097.04,8,35,Si,1.8,59,Diciembre,Domingo,Navidad,168
299,Escritorio,Oficina,628.21,41,81,Si,4.1,1122,Enero,Jueves,Fiestas Patrias,312
300,Celular,Gaming,976.33,18,109,Si,2.7,3323,Mayo,Domingo,Black Friday,260
301,Camara,Accesorios,2837.16,18,173,Si,1.6,9704,Mayo,Domingo,Black Friday,281
302,Impresora,Gaming,2584.32,33,170,No,1.9,8903,Agosto,Jueves,Fiestas Patrias,282
303,Camara,Gaming,102.26,14,428,Si,3.4,7377,Julio,Martes,Campaña Escolar,289
304,Parlante,Computo,2219.41,24,267,No,2.1,4408,Enero,Sabado,Black Friday,268
305,Camara,Tecnologia,2439.1,2,51,Si,2.7,6652,Diciembre,Domingo,Navidad,237
306,Audifonos,Tecnologia,2032.79,38,118,Si,1.3,7893,Marzo,Miercoles,Black Friday,330
307,Parlante,Oficina,687.7,7,362,No,1.9,2522,Febrero,Martes,Black Friday,200
308,Disco SSD,Tecnologia,2914.88,4,437,No,1.9,7447,Julio,Lunes,Black Friday,276
309,Monitor,Oficina,2082.99,2,309,Si,2.3,7476,Febrero,Miercoles,Campaña Escolar,206
310,Impresora,Tecnologia,3484.27,22,295,Si,2.3,711,Diciembre,Sabado,Fiestas Patrias,175
311,Teclado,Tecnologia,1976.79,35,462,Si,1.7,3424,Mayo,Domingo,Black Friday,324
312,Smartwatch,Oficina,356.43,15,21,Si,2.4,3769,Agosto,Viernes,Normal,182
313,Laptop,Computo,2788.17,15,39,No,1.9,4493,Abril,Domingo,Campaña Escolar,185
314,Mouse,Computo,867.93,29,158,Si,1.4,6599,Abril,Miercoles,Normal,282
315,Monitor,Oficina,330.15,38,297,No,1.5,9765,Noviembre,Domingo,Navidad,335
316,Mouse,Tecnologia,1273.27,20,267,Si,4.7,2546,Agosto,Viernes,Navidad,272
317,Silla Gamer,Gaming,1083.22,22,163,No,3.4,4456,Octubre,Martes,Campaña Escolar,244
318,Tablet,Tecnologia,2019.56,36,253,No,1.8,610,Octubre,Miercoles,Campaña Escolar,198
319,Teclado,Tecnologia,424.96,17,438,Si,2.5,7679,Septiembre,Miercoles,Normal,299
320,Tablet,Oficina,1080.28,8,408,No,2.6,6771,Enero,Sabado,Black Friday,282
321,Audifonos,Tecnologia,555.19,34,475,No,4.8,6147,Junio,Domingo,Normal,326
322,Monitor,Tecnologia,481.19,32,173,Si,3.4,9375,Octubre,Sabado,Fiestas Patrias,369
323,Laptop,Computo,3145.95,45,390,No,2.3,2580,Septiembre,Miercoles,Campaña Escolar,229
324,Escritorio,Oficina,1299.02,7,414,Si,1.1,586,Noviembre,Martes,Campaña Escolar,182
325,Escritorio,Oficina,829.28,44,453,Si,4.1,8784,Enero,Miercoles,Campaña Escolar,345
326,Smartwatch,Accesorios,387.71,5,169,No,1.9,4399,Enero,Miercoles,Fiestas Patrias,199
327,Parlante,Gaming,2116.89,22,476,Si,2.5,6538,Agosto,Miercoles,Normal,270
328,Audifonos,Computo,3443.2,18,402,No,1.6,5498,Enero,Domingo,Fiestas Patrias,200
329,Mouse,Computo,2743.78,45,380,No,1.7,8641,Julio,Jueves,Black Friday,345
330,Impresora,Accesorios,3488.51,16,110,No,3.5,9061,Agosto,Sabado,Black Friday,248
331,Disco SSD,Gaming,624.66,35,133,No,4.4,7907,Mayo,Domingo,Normal,265
332,Mouse,Oficina,1299.8,27,479,No,4.3,6190,Octubre,Domingo,Campaña Escolar,292
333,Impresora,Tecnologia,2697.18,1,71,No,2.9,2343,Febrero,Miercoles,Fiestas Patrias,138
334,Celular,Gaming,2389.79,38,398,No,1.9,6406,Diciembre,Jueves,Campaña Escolar,306
335,Impresora,Oficina,2923.38,44,222,No,1.8,4318,Enero,Sabado,Fiestas Patrias,253
336,Audifonos,Tecnologia,945.16,10,200,No,3.0,5937,Febrero,Sabado,Black Friday,247
337,Camara,Accesorios,361.33,25,205,No,4.5,4769,Enero,Martes,Navidad,293
338,Laptop,Accesorios,1328.09,28,431,No,2.6,2722,Febrero,Martes,Fiestas Patrias,282
339,Tablet,Gaming,3344.56,16,129,No,2.3,6322,Enero,Viernes,Campaña Escolar,198
340,Impresora,Computo,900.64,39,286,Si,4.3,825,Agosto,Domingo,Normal,270
341,Camara,Computo,3135.01,7,442,Si,3.5,7149,Julio,Miercoles,Fiestas Patrias,278
342,Mouse,Tecnologia,387.81,43,458,No,2.8,9273,Diciembre,Martes,Black Friday,396
343,Disco SSD,Gaming,165.02,22,52,No,3.6,8649,Febrero,Miercoles,Fiestas Patrias,240
344,Monitor,Gaming,1627.58,35,148,Si,4.9,5380,Mayo,Sabado,Black Friday,356
345,Mouse,Accesorios,2321.57,27,60,No,1.7,9014,Febrero,Jueves,Campaña Escolar,273
346,Mouse,Computo,942.36,37,120,No,1.3,7554,Noviembre,Miercoles,Normal,271
347,Disco SSD,Computo,1048.15,39,418,No,4.9,9204,Marzo,Sabado,Campaña Escolar,367
348,Camara,Accesorios,2715.73,40,226,Si,3.1,4335,Febrero,Martes,Campaña Escolar,273
349,Smartwatch,Oficina,3137.43,9,158,No,1.5,6028,Enero,Miercoles,Navidad,194
350,Celular,Gaming,2046.83,30,409,Si,4.2,8764,Marzo,Viernes,Normal,327
351,Audifonos,Oficina,172.2,16,433,No,3.4,5834,Diciembre,Sabado,Black Friday,322
352,Smartwatch,Oficina,1372.51,49,287,No,2.1,735,Octubre,Lunes,Campaña Escolar,216
353,Silla Gamer,Tecnologia,64.25,20,492,No,3.7,5391,Agosto,Jueves,Navidad,306
354,Teclado,Gaming,2647.55,20,135,Si,4.4,7577,Noviembre,Viernes,Campaña Escolar,287
355,Tablet,Gaming,1961.19,22,245,Si,1.2,8839,Enero,Domingo,Normal,244
356,Audifonos,Accesorios,1897.66,12,475,No,1.4,4608,Marzo,Miercoles,Campaña Escolar,223
357,Camara,Computo,339.71,49,104,No,3.0,4233,Febrero,Miercoles,Campaña Escolar,284
358,Teclado,Computo,2658.48,32,193,Si,3.4,1703,Octubre,Viernes,Normal,186
359,Router,Gaming,1986.28,28,39,No,4.5,9546,Marzo,Martes,Navidad,301
360,Parlante,Gaming,1626.22,15,81,Si,2.0,9526,Enero,Domingo,Normal,259
361,Laptop,Gaming,3087.45,3,113,No,1.8,8083,Mayo,Sabado,Campaña Escolar,179
362,Router,Tecnologia,2571.09,38,228,No,1.8,2209,Agosto,Sabado,Navidad,217
363,Silla Gamer,Computo,2747.6,35,95,No,4.4,8555,Agosto,Martes,Black Friday,294
364,Celular,Tecnologia,538.13,5,321,No,3.0,747,Diciembre,Lunes,Campaña Escolar,150
365,Tablet,Oficina,1301.72,3,29,Si,4.1,1063,Agosto,Martes,Fiestas Patrias,153
366,Impresora,Computo,1455.92,39,368,No,1.0,5941,Diciembre,Domingo,Fiestas Patrias,314
367,Teclado,Computo,650.99,44,29,No,2.6,2613,Septiembre,Viernes,Normal,271
368,Monitor,Oficina,382.4,3,385,Si,3.4,211,Febrero,Miercoles,Black Friday,245
369,Teclado,Tecnologia,2105.8,18,168,No,1.1,3440,Enero,Miercoles,Black Friday,235
370,Monitor,Accesorios,2482.73,30,365,Si,3.1,8673,Junio,Viernes,Fiestas Patrias,317
371,Smartwatch,Accesorios,1319.65,29,192,No,3.9,1219,Agosto,Viernes,Black Friday,248
372,Disco SSD,Computo,2808.76,46,468,No,3.9,5287,Agosto,Lunes,Normal,279
373,Camara,Oficina,2256.13,16,207,No,3.5,2060,Abril,Martes,Navidad,225
374,Laptop,Tecnologia,3327.09,4,70,No,4.9,5118,Mayo,Jueves,Navidad,213
375,Audifonos,Gaming,2456.88,29,263,No,3.3,2807,Enero,Domingo,Normal,160
376,Teclado,Computo,3293.56,41,44,No,2.7,8049,Diciembre,Miercoles,Black Friday,308
377,Laptop,Oficina,667.63,48,414,Si,2.8,6454,Enero,Viernes,Navidad,419
378,Impresora,Gaming,193.45,38,428,No,2.7,3434,Mayo,Lunes,Black Friday,356
379,Smartwatch,Gaming,44.46,40,191,Si,1.9,7581,Mayo,Domingo,Navidad,382
380,Teclado,Tecnologia,2306.2,35,222,No,1.3,9117,Julio,Miercoles,Fiestas Patrias,273
381,Smartwatch,Accesorios,175.19,21,229,No,2.1,2024,Abril,Viernes,Navidad,235
382,Camara,Tecnologia,966.39,30,115,No,4.4,631,Enero,Lunes,Campaña Escolar,232
383,Smartwatch,Oficina,247.47,44,237,Si,1.1,2693,Septiembre,Jueves,Campaña Escolar,324
384,Impresora,Gaming,1223.8,49,426,No,4.1,9664,Junio,Martes,Black Friday,457
385,Router,Computo,95.95,10,157,No,1.5,9185,Septiembre,Domingo,Navidad,242
386,Escritorio,Gaming,2563.26,20,91,No,1.6,3720,Mayo,Jueves,Normal,141
387,Impresora,Tecnologia,709.38,23,314,Si,2.9,6026,Julio,Viernes,Fiestas Patrias,294
388,Router,Oficina,329.16,21,298,Si,3.1,622,Mayo,Sabado,Navidad,306
389,Escritorio,Tecnologia,3013.29,42,178,No,4.2,4674,Octubre,Jueves,Campaña Escolar,241
390,Teclado,Accesorios,2967.28,9,350,Si,1.6,3187,Enero,Viernes,Normal,180
391,Laptop,Oficina,359.52,15,377,No,2.8,3800,Junio,Jueves,Campaña Escolar,219
392,Escritorio,Accesorios,1803.51,9,108,No,1.2,1904,Julio,Viernes,Navidad,167
393,Parlante,Tecnologia,1750.45,31,400,Si,4.5,9419,Diciembre,Martes,Navidad,411
394,Camara,Computo,1827.46,39,222,No,3.6,831,Noviembre,Jueves,Navidad,247
395,Impresora,Accesorios,851.01,40,177,No,4.9,7243,Agosto,Viernes,Fiestas Patrias,369
396,Silla Gamer,Computo,347.65,2,465,Si,2.1,1627,Octubre,Jueves,Campaña Escolar,255
397,Audifonos,Gaming,1752.39,5,176,No,3.6,6794,Mayo,Martes,Fiestas Patrias,198
398,Escritorio,Accesorios,1554.93,10,277,No,3.1,8137,Diciembre,Sabado,Black Friday,272
399,Celular,Computo,1261.21,40,173,No,2.1,7289,Septiembre,Domingo,Fiestas Patrias,290
400,Mouse,Gaming,3204.51,39,219,No,1.6,3575,Noviembre,Viernes,Black Friday,284
401,Parlante,Computo,2780.55,6,345,No,4.4,308,Marzo,Miercoles,Normal,179
402,Escritorio,Tecnologia,136.17,7,110,No,3.9,737,Junio,Jueves,Fiestas Patrias,184
403,Monitor,Accesorios,549.32,3,487,No,3.5,5956,Septiembre,Miercoles,Navidad,267
404,Teclado,Tecnologia,1778.12,15,138,Si,2.7,5158,Octubre,Sabado,Navidad,270
405,Monitor,Tecnologia,2344.36,12,171,Si,1.7,1175,Noviembre,Viernes,Campaña Escolar,185
406,Laptop,Tecnologia,343.75,3,290,Si,4.3,7883,Julio,Miercoles,Black Friday,307
407,Silla Gamer,Accesorios,296.33,4,236,No,1.7,314,Enero,Viernes,Campaña Escolar,153
408,Silla Gamer,Oficina,2491.64,43,386,No,2.9,3040,Agosto,Sabado,Campaña Escolar,292
409,Impresora,Computo,2287.8,8,222,Si,2.0,9396,Noviembre,Lunes,Normal,234
410,Camara,Tecnologia,870.3,27,257,Si,1.3,9222,Marzo,Jueves,Campaña Escolar,341
411,Parlante,Oficina,1482.01,33,50,Si,4.0,5483,Agosto,Martes,Fiestas Patrias,281
412,Laptop,Computo,2028.83,16,334,No,4.2,8000,Octubre,Viernes,Normal,279
413,Audifonos,Oficina,903.83,32,221,No,4.0,6099,Noviembre,Viernes,Navidad,339
414,Disco SSD,Accesorios,262.35,38,463,Si,4.4,6194,Septiembre,Jueves,Fiestas Patrias,357
415,Smartwatch,Tecnologia,2932.9,22,137,No,3.6,6709,Junio,Martes,Black Friday,258
416,Escritorio,Accesorios,1274.11,20,236,No,4.1,998,Enero,Sabado,Fiestas Patrias,219
417,Router,Accesorios,2293.01,13,493,No,4.5,4696,Marzo,Viernes,Black Friday,275
418,Camara,Computo,3062.31,26,416,Si,1.7,1427,Febrero,Jueves,Normal,214
419,Teclado,Oficina,1575.75,37,151,No,4.5,9081,Junio,Martes,Normal,292
420,Tablet,Accesorios,2812.19,19,378,No,1.2,7049,Agosto,Domingo,Fiestas Patrias,208
421,Audifonos,Gaming,114.57,37,224,No,1.5,4138,Diciembre,Viernes,Normal,255
422,Silla Gamer,Computo,2643.79,8,293,Si,1.1,7280,Diciembre,Martes,Normal,197
423,Celular,Computo,1965.96,18,440,No,2.8,9385,Marzo,Jueves,Navidad,310
424,Escritorio,Tecnologia,355.94,29,274,Si,1.0,1812,Noviembre,Miercoles,Fiestas Patrias,299
425,Monitor,Accesorios,807.7,13,231,No,3.4,8309,Agosto,Martes,Black Friday,272
426,Tablet,Gaming,3461.82,15,486,Si,4.4,2529,Agosto,Domingo,Navidad,233
427,Smartwatch,Accesorios,140.65,34,276,Si,5.0,9827,Noviembre,Domingo,Navidad,455
428,Camara,Oficina,898.03,36,460,Si,3.0,7206,Septiembre,Sabado,Fiestas Patrias,378
429,Disco SSD,Gaming,346.62,8,333,Si,4.5,4627,Febrero,Lunes,Navidad,302
430,Router,Gaming,1820.71,46,433,No,2.3,6367,Marzo,Martes,Fiestas Patrias,339
431,Mouse,Accesorios,2713.1,40,156,Si,4.6,6798,Diciembre,Viernes,Black Friday,389
432,Disco SSD,Gaming,2245.83,6,357,No,1.4,5575,Agosto,Domingo,Normal,154
433,Teclado,Gaming,2757.89,2,351,Si,2.1,2057,Julio,Jueves,Navidad,228
434,Camara,Oficina,1781.81,22,431,Si,1.3,3786,Noviembre,Domingo,Fiestas Patrias,271
435,Tablet,Computo,30.17,11,271,Si,1.2,7865,Enero,Sabado,Campaña Escolar,276
436,Laptop,Oficina,1587.62,44,250,Si,3.5,8383,Junio,Sabado,Normal,308
437,Disco SSD,Tecnologia,2145.51,44,349,No,1.8,6846,Agosto,Lunes,Fiestas Patrias,325
438,Teclado,Accesorios,192.25,7,52,No,4.4,4747,Noviembre,Sabado,Black Friday,253
439,Disco SSD,Oficina,1630.72,48,201,No,3.1,5532,Agosto,Domingo,Black Friday,326
440,Mouse,Gaming,2867.36,20,316,Si,4.5,232,Marzo,Sabado,Fiestas Patrias,242
441,Teclado,Gaming,3062.29,12,201,Si,3.8,5052,Julio,Viernes,Campaña Escolar,221
442,Parlante,Tecnologia,1393.12,43,28,No,2.6,6182,Enero,Miercoles,Black Friday,304
443,Camara,Oficina,918.44,47,426,No,4.3,6296,Abril,Martes,Black Friday,400
444,Teclado,Computo,161.14,19,347,Si,2.0,5493,Abril,Sabado,Normal,273
445,Smartwatch,Oficina,1355.76,35,91,Si,1.4,1824,Octubre,Domingo,Normal,252
446,Monitor,Tecnologia,267.11,50,152,No,4.0,5939,Febrero,Viernes,Normal,303
447,Router,Tecnologia,2346.63,40,211,No,2.4,9151,Abril,Sabado,Normal,291
448,Celular,Accesorios,2151.76,27,268,Si,3.9,1678,Septiembre,Martes,Normal,232
449,Camara,Computo,251.22,15,359,No,1.6,4058,Abril,Domingo,Navidad,215
450,Router,Gaming,1711.28,44,472,Si,1.2,9478,Noviembre,Domingo,Fiestas Patrias,361
451,Audifonos,Accesorios,2831.92,30,418,No,3.9,5674,Noviembre,Viernes,Campaña Escolar,263
452,Audifonos,Computo,2984.41,35,108,Si,1.3,2170,Enero,Viernes,Navidad,238
453,Silla Gamer,Oficina,1085.97,29,197,No,1.9,1873,Septiembre,Jueves,Normal,195
454,Silla Gamer,Oficina,3209.89,22,369,No,4.6,1191,Septiembre,Miercoles,Black Friday,239
455,Teclado,Computo,2475.44,32,417,No,2.5,6633,Julio,Martes,Navidad,307
456,Monitor,Accesorios,175.83,0,202,No,4.8,5956,Mayo,Domingo,Campaña Escolar,205
457,Disco SSD,Tecnologia,108.56,17,485,Si,1.0,1879,Septiembre,Jueves,Black Friday,286
458,Tablet,Accesorios,2949.2,11,495,Si,2.8,5794,Mayo,Martes,Fiestas Patrias,278
459,Disco SSD,Oficina,509.12,4,423,Si,1.1,492,Junio,Lunes,Navidad,195
460,Laptop,Computo,365.57,45,372,Si,2.6,9499,Julio,Sabado,Navidad,425
461,Parlante,Tecnologia,1396.11,5,324,Si,1.6,4390,Abril,Domingo,Navidad,254
462,Celular,Accesorios,424.16,41,133,Si,2.3,6839,Junio,Miercoles,Normal,307
463,Disco SSD,Accesorios,2118.24,8,378,Si,1.4,4204,Diciembre,Lunes,Black Friday,247
464,Escritorio,Gaming,1361.58,47,287,Si,3.2,3286,Diciembre,Martes,Black Friday,369
465,Camara,Computo,1683.02,12,171,No,1.7,4966,Mayo,Jueves,Black Friday,221
466,Audifonos,Computo,1072.12,31,118,No,1.8,390,Junio,Viernes,Black Friday,257
467,Mouse,Oficina,1211.72,43,30,No,4.9,408,Junio,Martes,Fiestas Patrias,230
468,Tablet,Tecnologia,2048.79,34,406,Si,3.5,6702,Octubre,Domingo,Campaña Escolar,332
469,Laptop,Computo,3478.59,17,113,No,2.3,6955,Septiembre,Viernes,Navidad,256
470,Audifonos,Accesorios,534.98,4,154,No,3.8,3780,Abril,Miercoles,Campaña Escolar,189
471,Router,Accesorios,480.66,26,126,No,3.4,1758,Agosto,Viernes,Fiestas Patrias,219
472,Smartwatch,Oficina,2615.59,38,485,No,1.2,1257,Diciembre,Sabado,Black Friday,258
473,Teclado,Computo,979.67,45,21,No,4.9,932,Marzo,Martes,Navidad,295
474,Teclado,Gaming,1702.26,31,79,Si,3.4,7979,Noviembre,Lunes,Navidad,336
475,Parlante,Tecnologia,1730.14,10,426,No,3.3,2504,Noviembre,Lunes,Normal,176
476,Teclado,Accesorios,1733.29,49,474,Si,4.5,3852,Febrero,Sabado,Campaña Escolar,310
477,Monitor,Gaming,1438.39,50,184,No,4.1,2869,Agosto,Miercoles,Normal,266
478,Silla Gamer,Oficina,3486.51,7,125,No,1.0,2434,Enero,Lunes,Navidad,167
479,Laptop,Tecnologia,2967.45,31,337,No,1.2,5492,Septiembre,Sabado,Fiestas Patrias,249
480,Laptop,Gaming,2200.54,30,217,Si,4.1,4167,Diciembre,Sabado,Black Friday,258
481,Mouse,Tecnologia,2413.27,42,332,Si,3.8,5979,Septiembre,Martes,Campaña Escolar,362
482,Router,Gaming,2872.9,40,161,No,3.9,9551,Mayo,Domingo,Fiestas Patrias,340
483,Smartwatch,Oficina,3351.92,46,172,No,5.0,2891,Febrero,Miercoles,Black Friday,287
484,Router,Accesorios,69.82,0,301,Si,4.3,6194,Diciembre,Martes,Fiestas Patrias,290
485,Silla Gamer,Tecnologia,260.22,12,241,No,4.7,2285,Febrero,Jueves,Black Friday,279
486,Camara,Oficina,2963.81,1,200,Si,1.4,4947,Enero,Sabado,Normal,167
487,Mouse,Oficina,290.22,3,423,Si,1.1,1148,Julio,Sabado,Fiestas Patrias,189
488,Disco SSD,Gaming,2832.66,44,489,No,1.3,2180,Enero,Martes,Campaña Escolar,240
489,Audifonos,Tecnologia,1838.57,15,75,Si,1.3,7963,Febrero,Sabado,Fiestas Patrias,251
490,Teclado,Computo,525.28,25,22,Si,3.7,2605,Enero,Martes,Navidad,252
491,Smartwatch,Oficina,3024.63,2,401,Si,2.2,4777,Febrero,Miercoles,Campaña Escolar,218
492,Router,Oficina,1138.81,38,330,No,3.2,5839,Noviembre,Viernes,Fiestas Patrias,301
493,Smartwatch,Accesorios,3426.85,20,412,No,2.4,7530,Diciembre,Sabado,Normal,197
494,Laptop,Tecnologia,2524.87,31,455,No,2.8,7701,Julio,Martes,Normal,273
495,Router,Gaming,2194.25,19,169,Si,3.1,6605,Octubre,Jueves,Fiestas Patrias,255
496,Silla Gamer,Computo,1029.1,29,200,No,1.5,7276,Agosto,Jueves,Campaña Escolar,245
497,Camara,Oficina,2718.2,17,21,No,3.0,4995,Julio,Martes,Navidad,224
498,Mouse,Gaming,964.98,48,88,Si,1.4,9506,Mayo,Domingo,Campaña Escolar,378
499,Mouse,Computo,1798.73,25,283,No,2.1,6402,Marzo,Jueves,Campaña Escolar,231
500,Impresora,Computo,374.59,0,116,No,2.1,5843,Febrero,Lunes,Normal,186
501,Celular,Computo,1110.45,35,347,Si,4.6,9348,Mayo,Lunes,Campaña Escolar,374
502,Teclado,Oficina,3374.99,36,410,No,3.7,6411,Agosto,Viernes,Navidad,318
503,Mouse,Tecnologia,1984.91,26,226,Si,3.8,6368,Febrero,Miercoles,Navidad,330
504,Router,Gaming,2339.02,32,33,Si,4.0,5954,Junio,Domingo,Black Friday,306
505,Audifonos,Oficina,2372.86,24,103,Si,2.1,7172,Julio,Domingo,Normal,240
506,Router,Gaming,1360.22,40,364,Si,2.8,5827,Marzo,Sabado,Black Friday,351
507,Teclado,Computo,2227.8,34,245,Si,1.0,5624,Mayo,Miercoles,Black Friday,303
508,Mouse,Accesorios,2881.19,30,395,No,1.8,4474,Julio,Miercoles,Black Friday,295
509,Celular,Tecnologia,3046.78,21,490,No,4.2,9438,Junio,Miercoles,Campaña Escolar,285
510,Router,Gaming,3259.21,35,283,Si,3.9,6519,Abril,Jueves,Normal,272
511,Audifonos,Tecnologia,2264.02,20,37,No,3.9,1511,Julio,Miercoles,Navidad,187
512,Smartwatch,Computo,169.66,12,322,Si,4.3,1723,Agosto,Miercoles,Black Friday,292
513,Audifonos,Computo,1912.44,46,62,No,3.8,3798,Octubre,Sabado,Campaña Escolar,276
514,Impresora,Accesorios,129.35,2,120,No,2.3,3303,Julio,Miercoles,Fiestas Patrias,180
515,Router,Accesorios,948.03,28,180,No,4.5,1451,Junio,Jueves,Fiestas Patrias,280
516,Impresora,Tecnologia,1105.29,27,281,Si,4.1,2795,Octubre,Martes,Navidad,312
517,Silla Gamer,Gaming,3002.81,41,196,Si,2.5,2842,Enero,Sabado,Black Friday,294
518,Celular,Computo,81.08,24,42,No,4.0,2616,Diciembre,Lunes,Black Friday,257
519,Teclado,Computo,1231.37,11,25,No,3.3,6566,Abril,Miercoles,Campaña Escolar,218
520,Smartwatch,Oficina,2967.77,8,169,No,4.6,8885,Febrero,Jueves,Navidad,255
521,Router,Oficina,3150.1,28,498,Si,4.7,5395,Septiembre,Viernes,Black Friday,372
522,Smartwatch,Computo,1668.86,25,13,Si,4.8,8634,Diciembre,Domingo,Navidad,336
523,Mouse,Accesorios,852.27,31,477,Si,3.2,6733,Noviembre,Sabado,Fiestas Patrias,334
524,Silla Gamer,Gaming,2545.18,6,371,No,4.6,7518,Enero,Viernes,Black Friday,280
525,Smartwatch,Oficina,981.31,12,190,No,3.1,5152,Febrero,Lunes,Normal,202
526,Monitor,Gaming,2838.31,46,61,Si,2.3,7655,Diciembre,Viernes,Navidad,321
527,Celular,Computo,1655.56,46,168,Si,3.8,3363,Julio,Jueves,Navidad,349
528,Impresora,Tecnologia,1750.65,40,468,No,1.2,1746,Agosto,Lunes,Fiestas Patrias,255
529,Disco SSD,Tecnologia,3353.61,26,235,No,2.0,3694,Febrero,Domingo,Campaña Escolar,209
530,Audifonos,Computo,2667.77,13,211,No,1.7,1807,Agosto,Domingo,Campaña Escolar,153
531,Impresora,Oficina,1971.84,5,102,No,2.9,542,Febrero,Jueves,Black Friday,157
532,Mouse,Computo,3362.98,15,77,Si,4.8,2793,Enero,Domingo,Normal,196
533,Parlante,Computo,2496.8,25,455,Si,3.3,5308,Noviembre,Lunes,Campaña Escolar,304
534,Camara,Accesorios,632.81,37,383,No,1.1,9525,Septiembre,Martes,Fiestas Patrias,328
535,Celular,Accesorios,2906.28,28,68,Si,2.4,1346,Julio,Sabado,Campaña Escolar,210
536,Silla Gamer,Oficina,3421.03,7,150,Si,4.4,3473,Julio,Lunes,Navidad,233
537,Celular,Gaming,1098.8,29,330,Si,2.8,3717,Julio,Jueves,Normal,292
538,Monitor,Computo,1756.16,8,430,Si,1.0,1686,Diciembre,Domingo,Normal,177
539,Smartwatch,Gaming,1331.91,27,435,Si,4.2,8198,Marzo,Miercoles,Fiestas Patrias,337
540,Celular,Tecnologia,2971.19,7,441,No,1.4,4494,Mayo,Sabado,Black Friday,185
541,Router,Oficina,1693.5,12,182,Si,1.5,7482,Octubre,Jueves,Navidad,274
542,Impresora,Computo,1804.27,6,250,No,3.5,2501,Agosto,Viernes,Campaña Escolar,185
543,Disco SSD,Gaming,2644.84,34,108,No,4.8,3724,Octubre,Lunes,Campaña Escolar,260
544,Mouse,Accesorios,3473.7,28,477,No,3.3,1155,Mayo,Lunes,Campaña Escolar,177
545,Escritorio,Accesorios,2305.08,49,266,Si,1.8,3749,Septiembre,Jueves,Black Friday,324
546,Router,Oficina,3347.99,21,363,Si,3.7,2830,Julio,Martes,Black Friday,287
547,Camara,Accesorios,1521.2,10,321,Si,3.3,6292,Agosto,Miercoles,Campaña Escolar,282
548,Impresora,Oficina,520.47,6,312,Si,4.6,6347,Octubre,Lunes,Fiestas Patrias,277
549,Celular,Accesorios,3126.1,20,471,No,4.1,9115,Abril,Domingo,Black Friday,315
550,Tablet,Oficina,731.52,7,50,No,2.2,664,Julio,Sabado,Black Friday,199
551,Teclado,Tecnologia,134.18,45,484,No,1.3,320,Octubre,Lunes,Campaña Escolar,268
552,Laptop,Computo,350.78,26,49,Si,1.2,3657,Abril,Viernes,Fiestas Patrias,278
553,Smartwatch,Oficina,1247.06,3,332,Si,3.1,6664,Octubre,Sabado,Black Friday,285
554,Router,Tecnologia,1922.52,40,322,No,3.4,8941,Mayo,Domingo,Navidad,364
555,Camara,Tecnologia,1838.34,36,322,Si,4.9,6584,Diciembre,Jueves,Navidad,388
556,Tablet,Tecnologia,200.62,3,485,No,2.2,4132,Diciembre,Domingo,Campaña Escolar,208
557,Parlante,Tecnologia,2327.4,46,178,Si,4.4,1899,Agosto,Miercoles,Fiestas Patrias,281
558,Celular,Tecnologia,2499.92,26,444,No,1.7,4641,Abril,Martes,Navidad,232
559,Parlante,Gaming,3158.75,35,48,Si,1.9,5191,Noviembre,Jueves,Campaña Escolar,284
560,Smartwatch,Accesorios,2320.33,30,435,No,3.8,4588,Abril,Domingo,Normal,204
561,Camara,Computo,956.19,8,474,No,4.8,2882,Octubre,Viernes,Campaña Escolar,194
